"Time(s)"	"Absorbance (AU)"
       1.1	     0.407275
      31.7	     0.404773
      61.7	     0.405394
      91.7	     0.404900
     121.7	     0.404740
     151.7	     0.403979
     181.7	     0.403310
     211.7	     0.402685
     241.7	     0.403291
     271.7	     0.401851
     301.7	     0.401500
     331.7	     0.402250
     361.7	     0.399847
     391.7	     0.401032
     421.7	     0.400655
     451.7	     0.402478
     481.7	     0.400290
     511.7	     0.398863
     541.7	     0.398125
     571.7	     0.398802
     601.7	     0.399026
     631.7	     0.398754
     661.7	     0.398505
     691.7	     0.398133
     721.7	     0.398568
     751.7	     0.396302
     781.7	     0.397648
     811.7	     0.398273
     841.7	     0.396067
     871.7	     0.395778
     901.6	     0.395782
     931.6	     0.395124
     961.6	     0.395017
     991.6	     0.394725
    1021.6	     0.394850
    1051.6	     0.393270
    1081.6	     0.393570
    1111.6	     0.393495
    1141.6	     0.394360
    1171.6	     0.394029
    1201.6	     0.392274
    1231.6	     0.392240
    1261.6	     0.391242
    1291.6	     0.391924
    1321.6	     0.392609
    1351.6	     0.391396
    1381.6	     0.388461
    1411.6	     0.389844
    1441.6	     0.389924
    1471.6	     0.390540
    1501.6	     0.388919
    1531.6	     0.389566
    1561.6	     0.388752
    1591.6	     0.387979
    1621.6	     0.386687
    1651.6	     0.386791
    1681.6	     0.386258
    1711.6	     0.388202
    1741.6	     0.386238
    1771.6	     0.385023
    1801.6	     0.384198
    1831.6	     0.384686
    1861.6	     0.385307
    1891.6	     0.384789
    1921.6	     0.385898
    1951.6	     0.384354
    1981.6	     0.384501
    2011.6	     0.383791
    2041.6	     0.385132
    2071.6	     0.383646
    2101.6	     0.384526
    2131.6	     0.384013
    2161.6	     0.382012
    2191.6	     0.382654
    2221.6	     0.382134
    2251.6	     0.381665
    2281.6	     0.380440
    2311.6	     0.380834
    2341.6	     0.381714
    2371.6	     0.380704
    2401.6	     0.381833
    2431.6	     0.380520
    2461.6	     0.381495
    2491.6	     0.381630
    2521.6	     0.381652
    2551.6	     0.381713
    2581.6	     0.382046
    2611.6	     0.380948
    2641.6	     0.379878
    2671.6	     0.380369
    2701.6	     0.380276
    2731.6	     0.380604
    2761.6	     0.378754
    2791.6	     0.380280
    2821.6	     0.378799
    2851.6	     0.379821
    2881.5	     0.377794
    2911.5	     0.379469
    2941.5	     0.380259
    2971.5	     0.378492
    3001.5	     0.376733
    3031.5	     0.378632
    3061.5	     0.377246
    3091.5	     0.378337
    3121.5	     0.377488
    3151.5	     0.376061
    3181.5	     0.375423
    3211.5	     0.377371
    3241.5	     0.376623
    3271.5	     0.376557
    3301.5	     0.374908
    3331.5	     0.375967
    3361.5	     0.375815
    3391.5	     0.377185
    3421.5	     0.375566
    3451.5	     0.376916
    3481.5	     0.374959
    3511.5	     0.376086
    3541.5	     0.374950
    3571.5	     0.374825
    3601.5	     0.375118
    3631.5	     0.373435
    3661.5	     0.373460
    3691.5	     0.375168
    3721.5	     0.373823
    3751.5	     0.373715
    3781.5	     0.373142
    3811.5	     0.373911
    3841.5	     0.373137
    3871.5	     0.373430
    3901.5	     0.373282
    3931.5	     0.373303
    3961.5	     0.372679
    3991.5	     0.372618
    4021.5	     0.372224
    4051.5	     0.371537
    4081.5	     0.371298
    4111.5	     0.373742
    4141.5	     0.373497
    4171.5	     0.371625
    4201.5	     0.370497
    4231.5	     0.371417
    4261.5	     0.371355
    4291.5	     0.370578
    4321.5	     0.370705
    4351.5	     0.369363
    4381.5	     0.371095
    4411.5	     0.370205
    4441.5	     0.370424
    4471.5	     0.369656
    4501.5	     0.369642
    4531.5	     0.370390
    4561.5	     0.369820
    4591.5	     0.371452
    4621.5	     0.370568
    4651.5	     0.370831
    4681.5	     0.369257
    4711.5	     0.370332
    4741.5	     0.369112
    4771.5	     0.369434
    4801.5	     0.367599
    4831.5	     0.369348
    4861.5	     0.367560
    4891.4	     0.369496
    4921.4	     0.368182
    4951.4	     0.369141
    4981.4	     0.367717
    5011.4	     0.370190
    5041.4	     0.367821
    5071.4	     0.367180
    5101.4	     0.368003
    5131.4	     0.368357
    5161.4	     0.366777
    5191.4	     0.365902
    5221.4	     0.368690
    5251.4	     0.366301
    5281.4	     0.368222
    5311.4	     0.368162
    5341.4	     0.367241
    5371.4	     0.366754
    5401.4	     0.366509
    5431.4	     0.366540
    5461.4	     0.367872
    5491.4	     0.366461
    5521.4	     0.366819
    5551.4	     0.366498
    5581.4	     0.364810
    5611.4	     0.366251
    5641.4	     0.365054
    5671.4	     0.365735
    5701.4	     0.365955
    5731.4	     0.366240
    5761.4	     0.367074
    5791.4	     0.366885
    5821.4	     0.368082
    5851.4	     0.365826
    5881.4	     0.364979
    5911.4	     0.364976
    5941.4	     0.365394
    5971.4	     0.365789
    6001.4	     0.366855
    6031.4	     0.365893
    6061.4	     0.364976
    6091.4	     0.364555
    6121.4	     0.364986
    6151.4	     0.365952
    6181.4	     0.365221
    6211.4	     0.364459
    6241.4	     0.365097
    6271.4	     0.363022
    6301.4	     0.365028
    6331.4	     0.363956
    6361.4	     0.363917
    6391.4	     0.363851
    6421.4	     0.364210
    6451.4	     0.364728
    6481.4	     0.363607
    6511.4	     0.365233
    6541.4	     0.365500
    6571.4	     0.364548
    6601.4	     0.363548
    6631.4	     0.364881
    6661.4	     0.364733
    6691.4	     0.364851
    6721.4	     0.363525
    6751.4	     0.365001
    6781.4	     0.363730
    6811.4	     0.362841
    6841.4	     0.364036
    6871.4	     0.363322
    6901.3	     0.362617
    6931.3	     0.362838
    6961.3	     0.363375
    6991.3	     0.362617
    7021.3	     0.362463
    7051.3	     0.362404
    7081.3	     0.362525
    7111.3	     0.363740
    7141.3	     0.363155
    7171.3	     0.363826
    7201.3	     0.362654
    7231.3	     0.361899
    7261.3	     0.361671
    7291.3	     0.362054
    7321.3	     0.362095
    7351.3	     0.361360
    7381.3	     0.360522
    7411.3	     0.362733
    7441.3	     0.361201
    7471.3	     0.360216
    7501.3	     0.362202
    7531.3	     0.362837
    7561.3	     0.362399
    7591.3	     0.361370
    7621.3	     0.362761
    7651.3	     0.360248
    7681.3	     0.360846
    7711.3	     0.360346
    7741.3	     0.361359
    7771.3	     0.358737
    7801.3	     0.360849
    7831.3	     0.360252
    7861.3	     0.359674
    7891.3	     0.360600
    7921.3	     0.360041
    7951.3	     0.362240
    7981.3	     0.361750
    8011.3	     0.361485
    8041.3	     0.359780
    8071.3	     0.360194
    8101.3	     0.358540
    8131.3	     0.360103
    8161.3	     0.360884
    8191.3	     0.359048
    8221.3	     0.361337
    8251.3	     0.359735
    8281.3	     0.358893
    8311.3	     0.360112
    8341.3	     0.359876
    8371.3	     0.358717
    8401.3	     0.360201
    8431.3	     0.359522
    8461.3	     0.359317
    8491.3	     0.359525
    8521.3	     0.359338
    8551.3	     0.357718
    8581.3	     0.358639
    8611.3	     0.357405
    8641.3	     0.359218
    8671.3	     0.360587
    8701.3	     0.358058
    8731.3	     0.359591
    8761.3	     0.360595
    8791.3	     0.358163
    8821.3	     0.358862
    8851.3	     0.358353
    8881.3	     0.359180
    8911.2	     0.359076
    8941.2	     0.358670
    8971.2	     0.358028
    9001.2	     0.357922
    9031.2	     0.359072
    9061.2	     0.357611
    9091.2	     0.357350
    9121.2	     0.357513
    9151.2	     0.358686
    9181.2	     0.358879
    9211.2	     0.357678
    9241.2	     0.357661
    9271.2	     0.358953
    9301.2	     0.358055
    9331.2	     0.359604
    9361.2	     0.358624
    9391.2	     0.359692
    9421.2	     0.358587
    9451.2	     0.357496
    9481.2	     0.358129
    9511.2	     0.358028
    9541.2	     0.357834
    9571.2	     0.358103
    9601.2	     0.357926
    9631.2	     0.358149
    9661.2	     0.357131
    9691.2	     0.358103
    9721.2	     0.357213
    9751.2	     0.358174
    9781.2	     0.358560
    9811.2	     0.358177
    9841.2	     0.356382
    9871.2	     0.355904
    9901.2	     0.358076
    9931.2	     0.357054
    9961.2	     0.358126
    9991.2	     0.356569
   10021.2	     0.356144
   10051.2	     0.357456
   10111.2	     0.356886
   10231.2	     0.356484
   10471.2	     0.355174
   10951.1	     0.354551
   11911.1	     0.353924
   13831.0	     0.352421
