"Time(s)"	"Absorbance (AU)"
       1.2	     0.419933
      31.7	     0.420555
      61.7	     0.419050
      91.7	     0.418014
     121.7	     0.418819
     151.7	     0.418802
     181.7	     0.417386
     211.7	     0.417087
     241.7	     0.417331
     271.7	     0.414422
     301.7	     0.414021
     331.7	     0.416478
     361.7	     0.415546
     391.7	     0.412936
     421.7	     0.414666
     451.7	     0.410618
     481.7	     0.411316
     511.7	     0.411283
     541.7	     0.410496
     571.7	     0.410537
     601.7	     0.409526
     631.7	     0.409115
     661.7	     0.409674
     691.7	     0.409119
     721.7	     0.408663
     751.7	     0.407743
     781.7	     0.406903
     811.7	     0.406564
     841.7	     0.405975
     871.7	     0.405366
     901.7	     0.405115
     931.7	     0.405550
     961.7	     0.403306
     991.7	     0.403803
    1021.7	     0.401867
    1051.7	     0.401853
    1081.7	     0.402352
    1111.7	     0.400286
    1141.7	     0.399643
    1171.7	     0.399309
    1201.7	     0.400264
    1231.7	     0.398698
    1261.7	     0.400004
    1291.7	     0.399737
    1321.7	     0.396213
    1351.7	     0.398833
    1381.7	     0.396645
    1411.7	     0.396644
    1441.7	     0.395578
    1471.7	     0.395832
    1501.7	     0.394783
    1531.7	     0.394924
    1561.7	     0.395334
    1591.7	     0.393999
    1621.7	     0.392079
    1651.7	     0.392097
    1681.7	     0.392965
    1711.7	     0.393528
    1741.7	     0.391697
    1771.7	     0.392247
    1801.7	     0.390947
    1831.7	     0.390421
    1861.7	     0.390347
    1891.7	     0.389182
    1921.7	     0.389208
    1951.7	     0.389147
    1981.7	     0.388480
    2011.6	     0.388248
    2041.6	     0.388627
    2071.6	     0.386796
    2101.6	     0.385792
    2131.6	     0.384738
    2161.6	     0.386594
    2191.6	     0.385127
    2221.6	     0.384819
    2251.6	     0.384764
    2281.6	     0.383394
    2311.6	     0.381581
    2341.6	     0.383512
    2371.6	     0.383128
    2401.6	     0.381443
    2431.6	     0.380759
    2461.6	     0.380989
    2491.6	     0.380327
    2521.6	     0.379642
    2551.6	     0.379088
    2581.6	     0.378283
    2611.6	     0.379085
    2641.6	     0.377986
    2671.6	     0.377626
