"Time(s)"	"Absorbance (AU)"
       1.2	     0.417207
      31.8	     0.412534
      61.7	     0.411727
      91.7	     0.410636
     121.7	     0.410710
     151.7	     0.408965
     181.7	     0.406148
     211.7	     0.407832
     241.7	     0.404187
     271.7	     0.402919
     301.7	     0.401912
     331.7	     0.399222
     361.7	     0.399727
     391.7	     0.398833
     421.7	     0.398243
     451.7	     0.395591
     481.7	     0.398116
     511.7	     0.395384
     541.7	     0.394083
     571.7	     0.391971
     601.7	     0.390492
     631.7	     0.390550
     661.7	     0.389955
     691.7	     0.387798
     721.7	     0.387846
     751.7	     0.385800
     781.7	     0.382938
     811.7	     0.382006
     841.7	     0.381512
     871.7	     0.381675
     901.7	     0.380144
     931.7	     0.377337
     961.7	     0.376435
     991.7	     0.375955
    1021.7	     0.374657
    1051.7	     0.373726
    1081.7	     0.371094
    1111.7	     0.372156
    1141.7	     0.369799
    1171.7	     0.369864
    1201.7	     0.367055
    1231.7	     0.366007
    1261.7	     0.365281
    1291.7	     0.363505
    1321.7	     0.362678
    1351.7	     0.361070
    1381.7	     0.361456
    1411.7	     0.358327
    1441.7	     0.358066
    1471.7	     0.355906
    1501.7	     0.354587
    1531.7	     0.353674
    1561.7	     0.352581
    1591.7	     0.350632
    1621.7	     0.348946
    1651.7	     0.349200
    1681.7	     0.349162
    1711.7	     0.345760
    1741.7	     0.344758
    1771.7	     0.343918
    1801.7	     0.342951
    1831.7	     0.339784
    1861.7	     0.339600
    1891.7	     0.337049
    1921.7	     0.337588
    1951.7	     0.335454
    1981.7	     0.333094
    2011.7	     0.331451
    2041.6	     0.330121
    2071.6	     0.329350
    2101.6	     0.328627
    2131.6	     0.327194
    2161.6	     0.327429
    2191.6	     0.323757
    2221.6	     0.323134
    2251.6	     0.321187
    2281.6	     0.319221
    2311.6	     0.317992
    2341.6	     0.315891
    2371.6	     0.315332
    2401.6	     0.313539
    2431.6	     0.312186
    2461.6	     0.311593
    2491.6	     0.309937
    2521.6	     0.308406
    2551.6	     0.306468
    2581.6	     0.307406
    2611.6	     0.305081
    2641.6	     0.302784
    2671.6	     0.302260
    2701.6	     0.301847
    2731.6	     0.298624
    2761.6	     0.297355
    2791.6	     0.298096
    2821.6	     0.296651
    2851.6	     0.294050
    2881.6	     0.292765
    2911.6	     0.291039
    2941.6	     0.289808
    2971.6	     0.288162
    3001.6	     0.287282
    3031.6	     0.285740
    3061.6	     0.284212
    3091.6	     0.282890
    3121.6	     0.281342
    3151.6	     0.280310
    3181.6	     0.279930
    3211.6	     0.278294
    3241.6	     0.276859
    3271.6	     0.275266
    3301.6	     0.274182
    3331.6	     0.273355
    3361.6	     0.271432
    3391.6	     0.271094
    3421.6	     0.268678
