average time;time;linear area;1-arm area;cyclic area;1-arm-MAD-DTT area;sum;linear-frac;arm-frac;cyclic-frac;armMADDTT-frac;linear;arm;cyclic;armMADDTT;M CPL3
0:02:54;2.9;6.97E+06;2.74E+09;2.07E+09;4.37E+08;5.25E+09;1.33E-03;5.21E-01;3.94E-01;8.32E-02;1.87E-06;7.33E-04;5.54E-04;1.17E-04;0.00140647
0:13:49;13.81666667;6.78E+07;1.46E+09;2.23E+09;1.02E+09;4.78E+09;1.42E-02;3.06E-01;4.67E-01;2.13E-01;2.00E-05;4.31E-04;6.56E-04;3.00E-04;
0:32:25;32.41666667;2.13E+08;5.69E+08;1.13E+09;1.48E+09;3.39E+09;6.28E-02;1.68E-01;3.33E-01;4.37E-01;8.83E-05;2.36E-04;4.68E-04;6.14E-04;
0:47:14;47.23333333;3.57E+08;3.19E+08;6.15E+08;1.59E+09;2.88E+09;1.24E-01;1.11E-01;2.14E-01;5.52E-01;1.74E-04;1.56E-04;3.00E-04;7.76E-04;
1:01:14;61.23333333;5.21E+08;2.11E+08;6.54E+08;1.61E+09;2.99E+09;1.74E-01;7.04E-02;2.19E-01;5.37E-01;2.45E-04;9.91E-05;3.07E-04;7.55E-04;
1:19:45;79.75;6.68E+08;1.21E+08;4.55E+08;1.46E+09;2.71E+09;2.47E-01;4.47E-02;1.68E-01;5.40E-01;3.47E-04;6.28E-05;2.37E-04;7.60E-04;
1:33:49;93.81666667;7.69E+08;8.72E+07;4.93E+08;1.37E+09;2.72E+09;2.83E-01;3.21E-02;1.81E-01;5.04E-01;3.98E-04;4.51E-05;2.55E-04;7.08E-04;
1:48:35;108.5833333;9.27E+08;7.75E+07;5.24E+08;1.29E+09;2.82E+09;3.29E-01;2.75E-02;1.86E-01;4.57E-01;4.63E-04;3.87E-05;2.62E-04;6.43E-04;
2:07:06;127.1;1.05E+09;7.25E+07;6.97E+08;1.22E+09;3.04E+09;3.46E-01;2.39E-02;2.29E-01;4.01E-01;4.86E-04;3.36E-05;3.23E-04;5.64E-04;
2:20:29;140.4833333;1.11E+09;4.81E+07;3.84E+08;1.13E+09;2.67E+09;4.16E-01;1.80E-02;1.44E-01;4.23E-01;5.85E-04;2.53E-05;2.02E-04;5.94E-04;
2:36:01;156.0166667;1.24E+09;5.66E+07;8.25E+08;1.07E+09;3.19E+09;3.89E-01;1.78E-02;2.59E-01;3.35E-01;5.47E-04;2.50E-05;3.64E-04;4.71E-04;
2:51:32;171.5333333;1.32E+09;4.45E+07;5.99E+08;9.69E+08;2.93E+09;4.50E-01;1.52E-02;2.04E-01;3.31E-01;6.33E-04;2.13E-05;2.87E-04;4.65E-04;
