time-h,linear-frac,1-arm-frac,cycle-frac,2-arm-frac,LP,MP,CP,MPM
0,1,0,0,0,0.0001,0,0,0
0.038333333,0.805,0.153,0.015,0.027,8.05057E-05,1.53212E-05,1.511E-06,2.66213E-06
0.15,0.169,0.437,0.074,0.320,1.69002E-05,4.36674E-05,7.39799E-06,3.20344E-05
0.283333333,0.027,0.254,0.078,0.641,2.74849E-06,2.53505E-05,7.78164E-06,6.41193E-05
0.42,0.014,0.145,0.120,0.721,1.41112E-06,1.4487E-05,1.19852E-05,7.21167E-05
0.555,0.010,0.062,0.138,0.790,9.50965E-07,6.18203E-06,1.38244E-05,7.90426E-05
0.691666667,0.006,0.044,0.101,0.849,5.67157E-07,4.41955E-06,1.01E-05,8.49133E-05
0.825,0.004,0.060,0.153,0.784,4.12105E-07,5.98363E-06,1.52514E-05,7.83528E-05
0.961666667,0.002,0.056,0.130,0.812,2.1906E-07,5.62249E-06,1.29983E-05,8.11601E-05
1.096666667,0.001,0.048,0.132,0.819,1.22246E-07,4.75787E-06,1.32197E-05,8.19002E-05
1.233333333,0.001,0.044,0.144,0.811,9.27599E-08,4.4172E-06,1.43916E-05,8.10984E-05
1.366666667,0.001,0.052,0.151,0.797,5.68954E-08,5.16494E-06,1.51179E-05,7.96602E-05
1.503333333,0.000,0.050,0.118,0.832,4.90848E-08,5.0055E-06,1.17808E-05,8.31646E-05
1.638333333,0.000,0.056,0.138,0.807,0,5.56027E-06,1.37852E-05,8.06545E-05
1.775,0.000,0.050,0.122,0.828,0,4.95127E-06,1.22395E-05,8.28093E-05
1.908333333,0.000,0.052,0.119,0.829,0,5.20262E-06,1.18803E-05,8.29171E-05
2.045,0.000,0.053,0.133,0.813,0,5.33113E-06,1.33193E-05,8.13496E-05
2.183333333,0.000,0.044,0.153,0.804,0,4.35023E-06,1.52921E-05,8.03577E-05
2.316666667,0.000,0.042,0.140,0.818,0,4.1913E-06,1.4022E-05,8.17867E-05
2.453333333,0.000,0.039,0.111,0.849,0,3.94836E-06,1.11055E-05,8.49461E-05
2.586666667,0.000,0.045,0.111,0.844,0,4.45702E-06,1.11159E-05,8.44271E-05
2.725,0.000,0.036,0.117,0.847,0,3.63997E-06,1.17038E-05,8.46562E-05
2.858333333,0.000,0.040,0.176,0.784,0,3.99818E-06,1.75861E-05,7.84157E-05
2.993333333,0.000,0.033,0.139,0.827,0,3.30449E-06,1.39475E-05,8.2748E-05
3.128333333,0.000,0.038,0.134,0.828,0,3.76814E-06,1.33934E-05,8.28385E-05
4.463333333,0.000,0.028,0.137,0.834,0,2.81829E-06,1.3743E-05,8.34387E-05
4.776666667,0.000,0.032,0.140,0.828,0,3.18813E-06,1.40306E-05,8.27812E-05
