time-h,LP-fr,MP-fr,CP-fr,LP,MP,CP
0,1,0,0,0.0001,0,0
0.116666667,0.966242781,0.00217649,0.031580728,9.66243E-05,2.17649E-07,3.15807E-06
0.25,0.923211358,0.002206993,0.074581649,9.23211E-05,2.20699E-07,7.45816E-06
0.65,0.796117261,0.002476099,0.201406641,7.96117E-05,2.4761E-07,2.01407E-05
0.783333333,0.761784866,0.002363747,0.235851387,7.61785E-05,2.36375E-07,2.35851E-05
1.2,0.651552486,0.003408876,0.345038637,6.51552E-05,3.40888E-07,3.45039E-05
1.333333333,0.525553603,0.003812978,0.470633419,5.25554E-05,3.81298E-07,4.70633E-05
2,0.461407936,0.004628268,0.533963795,4.61408E-05,4.62827E-07,5.33964E-05
2.55,0.427849205,0.00413258,0.568018215,4.27849E-05,4.13258E-07,5.68018E-05
2.816666667,0.336206065,0.004688304,0.659105631,3.36206E-05,4.6883E-07,6.59106E-05
3.216666667,0.310880393,0.004902393,0.684217214,3.1088E-05,4.90239E-07,6.84217E-05
3.766666667,0.296785885,0.004473454,0.698740661,2.96786E-05,4.47345E-07,6.98741E-05
4.166666667,0.271175189,0.00421287,0.724611942,2.71175E-05,4.21287E-07,7.24612E-05
4.566666667,0.202230388,0.004310619,0.793458993,2.0223E-05,4.31062E-07,7.93459E-05
5.116666667,0.200346984,0.004222869,0.795430146,2.00347E-05,4.22287E-07,7.9543E-05
