time-min,LP-fr,MP-fr,CP-fr,MPM-fr,LP,MP,CP,MPM
0,1,0,0,0,0.0001,0,0,0
2.233333333,0.843440181,0.023478549,0.1297423,0.003032845,8.4344E-05,2.34785E-06,1.29742E-05,3.03284E-07
10.35,0.26124338,0.016582527,0.709627749,0.010523732,2.61243E-05,1.65825E-06,7.09628E-05,1.05237E-06
18.48333333,0.060641133,0.014021796,0.909909493,0.012762886,6.06411E-06,1.40218E-06,9.09909E-05,1.27629E-06
26.68333333,0.016929445,0.011449466,0.955813832,0.012766313,1.69294E-06,1.14495E-06,9.55814E-05,1.27663E-06
34.8,0.008935989,0.009947148,0.965279487,0.012700347,8.93599E-07,9.94715E-07,9.65279E-05,1.27003E-06
42.93333333,0.006842228,0.0086953,0.968832486,0.012357922,6.84223E-07,8.6953E-07,9.68832E-05,1.23579E-06
51.06666667,0.00595023,0.007711205,0.970089109,0.012964349,5.95023E-07,7.71121E-07,9.70089E-05,1.29643E-06
59.18333333,0.005438686,0.006614812,0.971686831,0.012969326,5.43869E-07,6.61481E-07,9.71687E-05,1.29693E-06
67.31666667,0.005234429,0.005772487,0.972422857,0.013453682,5.23443E-07,5.77249E-07,9.72423E-05,1.34537E-06
75.4,0.005240973,0.005353008,0.972987634,0.013523135,5.24097E-07,5.35301E-07,9.72988E-05,1.35231E-06
83.53333333,0.004403415,0.004622587,0.974671028,0.012912517,4.40341E-07,4.62259E-07,9.74671E-05,1.29125E-06
91.68333333,0.004653201,0.004665323,0.975916629,0.012237725,4.6532E-07,4.66532E-07,9.75917E-05,1.22377E-06
99.78333333,0.004634743,0.004471883,0.976481749,0.01188479,4.63474E-07,4.47188E-07,9.76482E-05,1.18848E-06
