time-h,LP-fr,MP-fr,CP-fr,MPM-fr,LP,MP,CP,MPM
0,1,0,0,0,0.0001,0,0,0
0.016666667,0.996048871,0.002456341,0.001494788,0,9.96049E-05,2.45634E-07,1.49479E-07,0
0.15,0.894209656,0.004739402,0.100878179,0.000172763,8.9421E-05,4.7394E-07,1.00878E-05,1.72763E-08
0.283333333,0.742607897,0.005628067,0.251554416,0.00020962,7.42608E-05,5.62807E-07,2.51554E-05,2.0962E-08
0.416666667,0.656517099,0.005385675,0.337927155,0.00017007,6.56517E-05,5.38568E-07,3.37927E-05,1.7007E-08
0.55,0.560533455,0.005837606,0.433419389,0.000209549,5.60533E-05,5.83761E-07,4.33419E-05,2.09549E-08
0.683333333,0.466222528,0.006781408,0.526755672,0.000240392,4.66223E-05,6.78141E-07,5.26756E-05,2.40392E-08
0.816666667,0.465863086,0.006354586,0.527478229,0.0003041,4.65863E-05,6.35459E-07,5.27478E-05,3.041E-08
0.95,0.345901405,0.008135845,0.645630145,0.000332605,3.45901E-05,8.13585E-07,6.4563E-05,3.32605E-08
1.083333333,0.326838304,0.007590131,0.665186934,0.000384631,3.26838E-05,7.59013E-07,6.65187E-05,3.84631E-08
1.216666667,0.290899041,0.007587998,0.701147441,0.00036552,2.90899E-05,7.588E-07,7.01147E-05,3.6552E-08
1.5,0.220374902,0.00778356,0.771475431,0.000366108,2.20375E-05,7.78356E-07,7.71475E-05,3.66108E-08
1.766666667,0.171646191,0.00894482,0.818884403,0.000524586,1.71646E-05,8.94482E-07,8.18884E-05,5.24586E-08
2.033333333,0.113861689,0.009008065,0.876654053,0.000476194,1.13862E-05,9.00806E-07,8.76654E-05,4.76194E-08
2.3,0.075720033,0.009555212,0.914205184,0.000519572,7.572E-06,9.55521E-07,9.14205E-05,5.19572E-08
2.566666667,0.064399336,0.009147622,0.925827592,0.000625449,6.43993E-06,9.14762E-07,9.25828E-05,6.25449E-08
2.7,0.056179254,0.008769265,0.934475609,0.000575872,5.61793E-06,8.76926E-07,9.34476E-05,5.75872E-08
2.983333333,0.046134892,0.008024584,0.945252575,0.000587949,4.61349E-06,8.02458E-07,9.45253E-05,5.87949E-08
3.25,0.038661325,0.008443021,0.952223817,0.000671836,3.86613E-06,8.44302E-07,9.52224E-05,6.71836E-08
3.516666667,0.018259908,0.008716868,0.972454281,0.000568943,1.82599E-06,8.71687E-07,9.72454E-05,5.68943E-08
3.783333333,0.014114585,0.007703436,0.977474821,0.000707158,1.41146E-06,7.70344E-07,9.77475E-05,7.07158E-08
4.05,0.009663762,0.007648944,0.982027596,0.000659697,9.66376E-07,7.64894E-07,9.82028E-05,6.59697E-08
4.45,0.008303636,0.007091819,0.98396305,0.000641495,8.30364E-07,7.09182E-07,9.83963E-05,6.41495E-08
4.866666667,0.007163967,0.007729786,0.984371118,0.000735128,7.16397E-07,7.72979E-07,9.84371E-05,7.35128E-08
5.266666667,0.005698108,0.00640901,0.987234577,0.000658305,5.69811E-07,6.40901E-07,9.87235E-05,6.58305E-08
5.666666667,0.004338995,0.006416431,0.988619977,0.000624598,4.33899E-07,6.41643E-07,9.8862E-05,6.24598E-08
6.2,0.003923032,0.006460668,0.988971687,0.000644613,3.92303E-07,6.46067E-07,9.88972E-05,6.44613E-08
6.616666667,0.003461686,0.00534421,0.99055063,0.000643475,3.46169E-07,5.34421E-07,9.90551E-05,6.43475E-08
