time-h,Linear,1-arm,Cyclic,sum-oligo,LP,MP,CP,MPM
0,1.0000,0.0000,0.0000,0.0000,2.0000E-04,0.0000E+00,0.0000E+00,0.0000E+00
0.026388889,0.9599,0.0355,0.0025,0.0020,1.9199E-04,7.1068E-06,4.9785E-07,4.0586E-07
0.161388889,0.5782,0.3300,0.0507,0.0410,1.1564E-04,6.6000E-05,1.0150E-05,8.2050E-06
0.296944444,0.3844,0.4547,0.0870,0.0740,7.6876E-05,9.0932E-05,1.7394E-05,1.4798E-05
0.431666667,0.1318,0.5857,0.1323,0.1502,2.6356E-05,1.1715E-04,2.6458E-05,3.0038E-05
0.566666667,0.0841,0.5535,0.1713,0.1912,1.6810E-05,1.1069E-04,3.4261E-05,3.8238E-05
0.702222222,0.0278,0.5153,0.2091,0.2477,5.5605E-06,1.0307E-04,4.1823E-05,4.9548E-05
0.837777778,0.0090,0.4996,0.2224,0.2690,1.7929E-06,9.9925E-05,4.4478E-05,5.3804E-05
0.972777778,0.0042,0.4513,0.2408,0.3036,8.4122E-07,9.0267E-05,4.8167E-05,6.0725E-05
1.107777778,0.0024,0.4061,0.2658,0.3257,4.8538E-07,8.1214E-05,5.3164E-05,6.5136E-05
1.2425,0.0024,0.3641,0.2834,0.3502,4.7225E-07,7.2812E-05,5.6681E-05,7.0035E-05
1.378055556,0.0019,0.3020,0.2714,0.4247,3.8706E-07,6.0398E-05,5.4277E-05,8.4938E-05
1.513055556,0.0020,0.3221,0.2636,0.4122,4.0253E-07,6.4426E-05,5.2722E-05,8.2449E-05
1.648611111,0.0016,0.2499,0.3308,0.4177,3.2719E-07,4.9986E-05,6.6154E-05,8.3532E-05
1.783611111,0.0015,0.2648,0.3043,0.4294,2.9718E-07,5.2965E-05,6.0868E-05,8.5871E-05
1.918611111,0.0013,0.2197,0.3270,0.4520,2.6299E-07,4.3940E-05,6.5405E-05,9.0392E-05
2.053611111,0.0013,0.2044,0.3616,0.4327,2.5058E-07,4.0879E-05,7.2326E-05,8.6544E-05
2.188333333,0.0012,0.2084,0.3541,0.4363,2.3083E-07,4.1683E-05,7.0826E-05,8.7260E-05
2.323888889,0.0009,0.1741,0.3671,0.4579,1.8554E-07,3.4825E-05,7.3414E-05,9.1576E-05
2.458888889,0.0009,0.1718,0.3596,0.4677,1.8256E-07,3.4362E-05,7.1912E-05,9.3544E-05
2.594444444,0.0011,0.1441,0.3092,0.5456,2.1097E-07,2.8818E-05,6.1845E-05,1.0913E-04
2.729444444,0.0005,0.1441,0.3875,0.4678,1.0926E-07,2.8829E-05,7.7507E-05,9.3554E-05
2.864444444,0.0006,0.1265,0.3779,0.4950,1.2117E-07,2.5300E-05,7.5582E-05,9.8997E-05
2.994444444,0.0007,0.1524,0.3296,0.5173,1.3288E-07,3.0477E-05,6.5927E-05,1.0346E-04
3.134722222,0.0005,0.1250,0.3586,0.5159,1.0156E-07,2.5004E-05,7.1724E-05,1.0317E-04
3.270277778,0.0008,0.1079,0.3881,0.5032,1.5641E-07,2.1577E-05,7.7624E-05,1.0064E-04
3.405833333,0.0004,0.1129,0.3760,0.5107,7.9283E-08,2.2573E-05,7.5208E-05,1.0214E-04
3.540833333,0.0004,0.1027,0.3946,0.5023,7.6744E-08,2.0548E-05,7.8925E-05,1.0045E-04
3.675833333,0.0004,0.1002,0.3745,0.5249,7.7156E-08,2.0046E-05,7.4903E-05,1.0497E-04
3.811388889,0.0003,0.0898,0.3936,0.5164,6.6251E-08,1.7952E-05,7.8710E-05,1.0327E-04
3.946666667,0.0003,0.0937,0.4193,0.4867,6.9640E-08,1.8737E-05,8.3859E-05,9.7334E-05
5.308611111,0.0004,0.1015,0.4098,0.4883,7.4578E-08,2.0301E-05,8.1967E-05,9.7658E-05
5.443611111,0.0002,0.1041,0.4235,0.4722,4.9205E-08,2.0812E-05,8.4690E-05,9.4449E-05
