"time, h",LP-fr,MP-fr,CP-fr,MPM-fr,LP,MP,CP,MPM
0,1,0,0,0,0.00141,0,0,0
0.0075,0.977698317,0.022036557,0.000265126,0,0.001378555,3.10715E-05,3.73828E-07,0
0.100833333,0.740357319,0.219747648,0.008154619,0.031740415,0.001043904,0.000309844,1.1498E-05,4.4754E-05
0.201111111,0.588655243,0.318768308,0.032656017,0.059920431,0.000830004,0.000449463,4.6045E-05,8.44878E-05
0.274444444,0.397236407,0.459737522,0.035324973,0.107701097,0.000560103,0.00064823,4.98082E-05,0.000151859
0.34,0.306052449,0.525988566,0.083281585,0.0846774,0.000431534,0.000741644,0.000117427,0.000119395
0.511388889,0.145650881,0.608206117,0.074248706,0.171894295,0.000205368,0.000857571,0.000104691,0.000242371
0.648333333,0.064637439,0.664557825,0.093163953,0.177640783,9.11388E-05,0.000937027,0.000131361,0.000250474
0.847222222,0.024593821,0.653898212,0.112079631,0.209428335,3.46773E-05,0.000921996,0.000158032,0.000295294
0.983611111,0.01080106,0.592344718,0.183425862,0.21342836,1.52295E-05,0.000835206,0.00025863,0.000300934
1.053055556,0.009208107,0.490699128,0.160091395,0.34000137,1.29834E-05,0.000691886,0.000225729,0.000479402
1.125833333,0.00674184,0.473871785,0.15665853,0.362727845,9.50599E-06,0.000668159,0.000220889,0.000511446
1.195,0.004993683,0.517311883,0.139570758,0.338123676,7.04109E-06,0.00072941,0.000196795,0.000476754
1.286666667,0.003752875,0.506700443,0.156844922,0.33270176,5.29155E-06,0.000714448,0.000221151,0.000469109
1.459166667,0.002499943,0.408275054,0.164845704,0.424379299,3.52492E-06,0.000575668,0.000232432,0.000598375
1.755555556,0.002598706,0.333939511,0.190988647,0.472473136,3.66417E-06,0.000470855,0.000269294,0.000666187
2.032777778,0.002108509,0.243614588,0.216201641,0.538075262,2.973E-06,0.000343497,0.000304844,0.000758686
2.500555556,0.001551389,0.228708334,0.211723053,0.558017224,2.18746E-06,0.000322479,0.00029853,0.000786804
3.000555556,0.00199394,0.186509154,0.23930478,0.572192126,2.81145E-06,0.000262978,0.00033742,0.000806791
3.501388889,0.001949766,0.228573211,0.232250701,0.537226322,2.74917E-06,0.000322288,0.000327473,0.000757489
3.999166667,0.00153112,0.227493748,0.315538443,0.455436689,2.15888E-06,0.000320766,0.000444909,0.000642166
4.561666667,0.001882915,0.175305256,0.288691222,0.534120607,2.65491E-06,0.00024718,0.000407055,0.00075311
4.991944444,0.001593299,0.157252416,0.313656522,0.527497763,2.24655E-06,0.000221726,0.000442256,0.000743772
5.488333333,0.001759399,0.107712011,0.313294994,0.577233596,2.48075E-06,0.000151874,0.000441746,0.000813899
5.621111111,0.001247801,0.117129164,0.356532286,0.525090749,1.7594E-06,0.000165152,0.000502711,0.000740378
